speed,x_mean,y_mean,z_mean,x_std,y_std,z_std,x_aad,y_aad,z_aad,x_min,y_min,z_min,x_max,y_max,z_max,x_maxmin_diff,y_maxmin_diff,z_maxmin_diff,x_median,y_median,z_median,x_mad,y_mad,z_mad,x_IQR,y_IQR,z_IQR,x_neg_count,y_neg_count,z_neg_count,x_pos_count,y_pos_count,z_pos_count,x_above_mean,y_above_mean,z_above_mean,x_peak_count,y_peak_count,z_peak_count,x_skewness,y_skewness,z_skewness,x_kurtosis,y_kurtosis,z_kurtosis,x_energy,y_energy,z_energy,avg_result_accl,sma,x_mean_fft,y_mean_fft,z_mean_fft,x_std_fft,y_std_fft,z_std_fft,x_aad_fft,y_aad_fft,z_aad_fft,x_min_fft,y_min_fft,z_min_fft,x_max_fft,y_max_fft,z_max_fft,x_maxmin_diff_fft,y_maxmin_diff_fft,z_maxmin_diff_fft,x_median_fft,y_median_fft,z_median_fft,x_mad_fft,y_mad_fft,z_mad_fft,x_IQR_fft,y_IQR_fft,z_IQR_fft,x_above_mean_fft,y_above_mean_fft,z_above_mean_fft,x_peak_count_fft,y_peak_count_fft,z_peak_count_fft,x_skewness_fft,y_skewness_fft,z_skewness_fft,x_kurtosis_fft,y_kurtosis_fft,z_kurtosis_fft,x_energy_fft,y_energy_fft,z_energy_fft,avg_result_accl_fft,sma_fft
0.0,0.2714,-0.1057,0.9878,0.1517367457144116,0.19301427408355062,0.20140794423259475,0.123056,0.15467200000000003,0.1502,-0.12,-0.51,0.46,0.66,0.37,1.41,0.78,0.88,0.95,0.255,-0.11499999999999999,0.98,0.10500000000000001,0.13499999999999998,0.09999999999999998,0.1925,0.2575,0.19250000000000012,4,70,0,96,27,100,48,48,50,17,14,17,-0.243778750328293,0.15954982683819097,-0.011385268009339302,-0.037336094905622286,-0.47307652092970676,0.1616650078950781,0.096682,0.048427,1.016314,1.0598441139852204,1.4495,1.7288630879175642,1.6454194411420968,2.1807512055398304,1.06744317450584,2.140181325461337,1.7865560277422372,0.8958818755261637,1.0057063322738495,1.5861273484186476,0.33350813620811404,0.14131051921423887,0.23785879897278697,4.77584513002509,11.689163631865284,5.442266757668231,4.442336993816975,11.547853112651046,5.204407958695445,1.3416851985854479,1.1123686175042533,1.602931646536244,0.7313258793532769,0.5382310249249178,1.148870412231117,1.302222678334698,1.1662064269099162,2.7857421469159895,11,9,11,6,9,7,0.9601303398845966,4.08495996755883,0.5973529703305737,0.5117060613134994,16.43254542202278,-1.1218603828367248,4.12840250756296,7.287781243141816,7.9474582607255435,3.6647719343053673,5.555033734599492
0.0,0.24760000000000001,-0.1533,0.9879999999999999,0.17620510775797618,0.16813717613900858,0.22928148638736623,0.14304,0.136568,0.18368,-0.26,-0.51,0.46,0.66,0.25,1.41,0.92,0.76,0.95,0.255,-0.165,0.96,0.125,0.12499999999999997,0.12500000000000006,0.27,0.24500000000000002,0.2849999999999999,9,80,0,91,18,100,55,48,47,17,17,16,-0.326449469712176,0.20020801172828462,-0.037892606081524095,-0.2997544842204931,-0.46115278222992906,-0.4723827389363806,0.09235399999999999,0.05177099999999999,1.0287140000000001,1.0591208348029117,1.4423,1.962146176025443,1.5683882661599124,2.487410447312345,1.3957633349788565,1.7146692793048468,2.0119835704442464,1.1369316164130365,0.9110888456717607,1.8125023899718193,0.13931665703675575,0.1923213203981275,0.07071067811865599,5.150987281748405,9.25023743992458,7.202730629638147,5.011670624711649,9.057916119526453,7.13201995151949,1.6815537427508473,1.4240925361373922,1.337328301975364,0.9714614966366882,0.6980127400460119,0.9203599725335458,2.0243587538560215,1.0888965895145746,3.150008676957762,11,10,11,6,6,7,0.7267573190781651,3.5080906129935467,0.6878957254481559,-0.41386599276843583,13.196476669952613,-0.7075084607339721,5.798172903362567,5.399932490819899,10.235288621136176,3.9620400085187457,6.0179448894977
0.0,0.19649999999999998,-0.21760000000000002,0.9904999999999999,0.1814407616827046,0.12574672957973895,0.2674934578639261,0.15156,0.10239999999999999,0.22372,-0.26,-0.51,0.46,0.66,0.03,1.59,0.92,0.54,1.1300000000000001,0.19,-0.215,0.965,0.15000000000000002,0.095,0.20499999999999996,0.32,0.19,0.4099999999999999,13,93,0,87,7,100,48,50,48,18,19,15,0.1483636578410433,-0.06399414289107984,0.11369033279824355,-0.5979722632652309,-0.420279452701918,-0.8435263711498804,0.071533,0.063162,1.052643,1.0566626478664545,1.4266,2.1360133804106236,1.4853179878307023,2.9170637198410354,1.1678056113148205,0.8019640954770932,2.3524891071185987,0.8696670165168436,0.6420952858715637,1.9431027539773877,0.375557142393063,0.163753622099321,0.2640134294638579,5.600282520465249,3.656914240176141,8.333731320329171,5.224725378072185,3.49316061807682,8.069717890865313,1.937345227371955,1.5310499732470408,2.649240053290132,0.5988496647172641,0.4452518780818424,1.8621059208215365,1.4635576930661647,1.1158008122165266,4.057802145884967,10,13,11,5,8,8,0.8940175837067881,0.5913989502987415,0.788875477640916,1.1513676367992893,0.28777954487085156,-0.5290117233349645,5.9263231071116005,2.849315935407839,14.04346574472448,4.358948934583783,6.538395088082361
0.0,0.127,-0.22680000000000003,0.9837,0.2126711075816365,0.1353874440263941,0.2773108544575924,0.16817999999999997,0.11020000000000002,0.226248,-0.31,-0.62,0.45,0.66,0.1,1.61,0.97,0.72,1.1600000000000001,0.1,-0.225,0.96,0.125,0.095,0.17499999999999993,0.26,0.18,0.3624999999999998,24,94,0,76,6,100,43,50,48,18,21,17,0.2745145059640481,-0.16215962493371353,0.1601614929272273,-0.1213381196355452,-0.045156346672760694,-0.6537171041986256,0.06135799999999999,0.069768,1.044567,1.0490566079619337,1.4045,2.4556190253922416,1.516724460333011,3.090131064487914,1.3871284037328437,0.898198065062445,2.2524439574091026,1.1221195162235889,0.7581139148558113,1.686216726148618,0.3580899912137484,0.01570050706301751,0.4599514162179746,6.137828339476632,3.4778925593837333,10.920261152487177,5.779738348262884,3.4621920523207157,10.460309736269203,2.3508538407141404,1.3861718655360415,2.6773734598273693,0.9230966851325593,0.6558443335611752,1.5567383654795037,1.8205901322906501,1.296647472899171,2.9037297108113904,12,12,10,8,8,7,0.6343780193045134,0.3174460922002531,1.5734862062667891,0.0830575481276008,-0.6368614719338801,3.3620888862376024,7.9541900063107684,3.107212852654385,14.622413776981995,4.534095583656208,7.062474550213167
0.0,0.12679999999999997,-0.1913,0.9873999999999999,0.198906410153117,0.1369646304707898,0.25195880615687954,0.15420799999999998,0.10763,0.199904,-0.31,-0.62,0.45,0.66,0.19,1.61,0.97,0.81,1.1600000000000001,0.11,-0.18,0.99,0.12000000000000001,0.09000000000000002,0.14999999999999997,0.24250000000000002,0.17500000000000004,0.29000000000000004,23,91,0,77,9,100,47,55,52,20,21,19,0.06086863818444406,-0.12130890805003398,0.19664114521508547,0.02823324289245699,0.4901762777993808,-0.28472043413646864,0.055642000000000004,0.05535499999999999,1.0384420000000003,1.0417614881790214,1.3775,2.3327354041084614,1.590003942158139,2.8110872859640015,1.1815208816429401,0.8335975003446973,1.9949207125082098,0.8416753973045797,0.6635015160411826,1.6202909632565392,0.2992532556463167,0.4902906249456762,0.3627642989471118,5.635580825450019,3.816058938108576,8.456209949999112,5.336327569803702,3.3257683131629,8.093445651052,2.263643219424596,1.3160482593884253,2.169290716775315,0.3900339267693822,0.5309181989266107,1.2058155076776593,0.7530192402389728,1.0913207865454202,2.79402986119213,11,11,10,5,8,6,0.800919624364428,0.890677743922843,1.001471170663189,0.9527091541672288,0.36367690808227016,0.4994159701902059,6.8376460593393755,3.2229973286593503,11.88192037850272,4.2467141379220825,6.733826632230601
0.0,0.09609999999999999,-0.17310000000000003,0.9939,0.20706952938566311,0.14078135529962765,0.24995957673191882,0.16290000000000002,0.11207200000000002,0.20201200000000002,-0.4,-0.62,0.45,0.66,0.19,1.61,1.06,0.81,1.1600000000000001,0.1,-0.15,0.99,0.125,0.095,0.15999999999999992,0.26,0.19,0.32499999999999996,30,90,0,69,9,100,50,56,46,21,22,19,0.08075289969116042,-0.3378179643886983,0.28540799993665755,-0.05265371117911455,0.3159052302322314,-0.31550507199655575,0.052113000000000013,0.04978300000000001,1.050317,1.0439531938970736,1.3595000000000002,2.3630542846465157,1.7258614532387555,2.7543465018353226,1.4179223989543281,0.6887218580596984,1.9849779281428246,1.1984312266621953,0.5697009973984615,1.6158727528374868,0.2635112124747905,0.7473649852561165,0.7223990755962828,5.179729104640922,3.3222332111523514,7.355126689136947,4.916217892166131,2.574868225896235,6.6327276135406645,2.1569861531113417,1.5786478825837973,1.7869698590019019,1.0588446449946498,0.4264239841785309,0.9864903877129414,1.9056158634607858,0.9041186526028433,2.5502188436324866,11,11,10,8,6,6,0.41409669556657125,0.6864081879958287,1.0537991785636327,-0.9538575888030314,-0.3217498134831196,0.01069587194724786,7.594529481642654,3.4529355535445916,11.526562027386657,4.345292290499236,6.843262239720595
0.0,0.1008,-0.135,0.9936000000000001,0.21989397445132505,0.14388537104236832,0.22655471745253952,0.17656799999999997,0.11169999999999998,0.18461599999999997,-0.4,-0.62,0.45,0.66,0.19,1.61,1.06,0.81,1.1600000000000001,0.11,-0.125,0.99,0.15000000000000002,0.09,0.15000000000000002,0.2725,0.19,0.3024999999999999,32,88,0,67,10,100,52,53,47,21,23,20,0.08782332876850665,-0.47133149872923674,0.17066700540748114,-0.3297037827628859,0.7263956524595754,-0.20868177319949943,0.05851400000000001,0.038928,1.038568,1.042868249634832,1.3454,2.4619496223304362,1.5913144325178492,2.313022266199983,1.603764332184846,0.9387951955192945,1.938151559793129,1.3315521281755562,0.6804694288763707,1.390646911176265,0.3036371306880963,0.21595643506411505,0.31863687725647527,5.700376584263128,4.0327981169945115,8.50185505303145,5.396739453575032,3.8168416819303963,8.183218175774975,2.4208961961725524,1.5392219342817735,1.7805986336808997,1.2295344405793966,0.49239185341441316,0.6796074483688002,2.484934736223617,0.8872718740203919,1.3235319198617945,10,11,8,7,8,7,0.5387318624541082,1.022486440257621,1.7330987948317087,-0.8123148079596549,0.732980478617077,2.4228212459243066,8.633255976081283,3.4136180422697153,9.106503472665443,4.105403397017917,6.366286321048268
0.0,0.1064,-0.0892,1.0101,0.20188372891345158,0.11482752283316053,0.19020775483665223,0.16194399999999998,0.08931999999999998,0.15910600000000003,-0.4,-0.37,0.62,0.6,0.19,1.51,1.0,0.56,0.89,0.11499999999999999,-0.08,0.99,0.135,0.060000000000000005,0.14,0.26,0.11500000000000002,0.2899999999999999,29,84,0,69,14,100,52,55,47,21,23,19,0.029015237236600495,-0.22953479759396353,0.20720936331123993,-0.2786426777292932,0.06386802726501895,-0.5774698099883007,0.052078,0.021141999999999998,1.0564810000000002,1.0465795214426739,1.3087000000000002,2.386343072484444,1.358730166587505,2.0376816868841305,1.2922249848104654,0.6893811327497983,1.523990959496172,1.072079405903695,0.53416916941384,1.216083950603991,0.0541843935008332,0.34232563386772463,0.1884643853423146,5.119763882202166,3.3140007595831817,5.649703340160974,5.065579488701333,2.971675125715457,5.4612389548186595,2.256894682542821,1.3373548305534804,1.5475098016106155,1.045592273359317,0.6211176536251424,0.9010083483804471,1.8957019504025607,1.073134517213964,1.7739897932708435,11,12,11,9,7,9,0.18864343604672798,0.7081474565368531,0.9417148137262369,-0.7296155765408034,0.49562217817754206,-0.05024052463120743,7.364478670962903,2.3213940117863037,6.474695101689018,3.7156312157300437,5.782754925956079
0.0,0.0848,-0.061900000000000004,1.005,0.19491782884077075,0.09118876027230549,0.1881249584717562,0.15659199999999998,0.068928,0.1594,-0.4,-0.32,0.65,0.6,0.19,1.51,1.0,0.51,0.86,0.07500000000000001,-0.05,0.98,0.13,0.05,0.14000000000000012,0.2525,0.0925,0.29249999999999987,33,80,0,65,17,100,48,56,46,20,25,19,0.13152793062785484,-0.18991308901290033,0.2944383435499963,-0.20354708664454169,0.6055704883411179,-0.6258997179948524,0.04518400000000001,0.012147000000000002,1.0454160000000001,1.033788407567449,1.2597,2.2949845588479127,1.0078569326312457,2.1832453279292503,1.2587263092032597,0.5870347549111602,1.3030402060707782,1.0231676948877153,0.5008675312980263,1.099731196929421,0.5633210374826003,0.14504301618495707,0.1839635052311648,5.604145227223949,2.2683316575374577,5.131934957836365,5.040824189741349,2.1232886413525005,4.9479714526052,1.835755975068582,0.8865060898513082,1.978403626359073,0.7283724523138082,0.4184236144687668,0.9141240664859158,1.5440767327099498,0.9525801214842918,1.730327272929348,11,11,12,9,8,7,0.9976684715021038,0.4542512787358284,0.5226166570826354,0.5545732342768432,-0.8739458469227857,-0.38391227625323454,6.851346046830809,1.3603854001264697,6.464473940561876,3.5740334706438097,5.486086819408409
0.0,0.10219999999999999,-0.05750000000000001,1.0114,0.1923724512501725,0.08047825793343193,0.18685834206692511,0.154644,0.06035,0.153512,-0.29,-0.24,0.62,0.6,0.19,1.55,0.8899999999999999,0.43,0.93,0.1,-0.06,1.01,0.12,0.04000000000000001,0.13,0.2325,0.08,0.26249999999999996,27,81,0,71,16,100,49,49,46,21,23,19,0.10147015806886636,0.29886324937052366,0.34586567715609134,-0.3026373869142649,0.5190658149122522,-0.08715711763780876,0.047451999999999994,0.009783,1.057846,1.0402396804811622,1.2681,2.248522728221771,0.8518981369819193,2.250862365648177,1.160353500932013,0.5243613756831103,1.1777839626327096,1.003725313286388,0.4440874285743553,1.0102436588045933,0.14201689933744738,0.03463621227459366,0.1443675755977809,4.448099860240438,2.0378385145420457,4.435689027757999,4.306082960902991,2.003202302267452,4.291321452160218,1.7746465319918012,0.9351597480526438,2.427671029118325,0.6762890812646278,0.40106246706785953,1.065754483977432,1.9816740636028904,0.6854371510653314,2.033106711238071,10,13,14,8,7,7,0.36889237176637507,0.4098763718729902,0.055871069038488375,-1.028331660329606,-0.5314202725012791,-1.1148517640477495,6.402274706455055,1.0006852881015489,6.453556451726116,3.5313401542291767,5.351283230851868
